Use Case,Cost,Speed,Culture,Quality,Long-term Value,Complexity,Time,Overall Score,Quadrant
Use Case 1,91,24,13,45,41,38,27,1.32,QUICK WINS
Use Case 2,23,96,79,21,85,64,14,1.56,"HIGH EFFORT, QUICK WINS"
Use Case 3,13,21,37,39,74,87,13,0.74,"HIGH EFFORT, QUICK WINS"
Use Case 4,81,35,93,99,79,63,38,1.53,"HIGH EFFORT, QUICK WINS"
Use Case 5,67,85,45,10,30,99,64,0.58,STRATEGIC INVESTMENTS
Use Case 6,53,45,29,37,53,23,21,1.97,QUICK WINS
Use Case 7,58,22,55,54,87,43,15,1.9,QUICK WINS
Use Case 8,68,78,25,58,20,80,47,0.78,"HIGH EFFORT, QUICK WINS"
Use Case 9,90,89,56,83,34,100,18,1.19,"HIGH EFFORT, QUICK WINS"
Use Case 10,15,94,39,47,20,39,22,1.41,QUICK WINS
Use Case 11,58,45,68,91,56,30,57,1.46,LONG TERM LOW EFFORT
Use Case 12,55,36,95,44,99,97,92,0.7,STRATEGIC INVESTMENTS
Use Case 13,19,87,91,31,78,41,30,1.72,QUICK WINS
Use Case 14,69,58,44,91,98,81,38,1.21,"HIGH EFFORT, QUICK WINS"
Use Case 15,97,51,17,39,14,50,61,0.79,STRATEGIC INVESTMENTS
Use Case 16,44,18,37,82,50,37,93,0.71,LONG TERM LOW EFFORT
Use Case 17,73,60,92,68,28,43,27,1.83,QUICK WINS
Use Case 18,41,81,78,43,84,64,84,0.88,STRATEGIC INVESTMENTS
Use Case 19,61,56,38,27,75,73,21,1.09,"HIGH EFFORT, QUICK WINS"
Use Case 20,16,24,29,90,30,97,64,0.47,STRATEGIC INVESTMENTS
Use Case 21,86,18,59,58,86,69,77,0.84,STRATEGIC INVESTMENTS
Use Case 22,42,80,11,97,24,97,78,0.58,STRATEGIC INVESTMENTS
Use Case 23,44,92,53,24,47,65,30,1.09,"HIGH EFFORT, QUICK WINS"
Use Case 24,68,10,43,74,32,74,23,0.94,"HIGH EFFORT, QUICK WINS"
Use Case 25,90,48,91,74,87,35,29,2.44,QUICK WINS
Use Case 26,57,30,79,77,10,86,51,0.74,STRATEGIC INVESTMENTS
Use Case 27,72,12,24,56,49,40,17,1.49,QUICK WINS
Use Case 28,40,82,20,20,72,18,78,0.97,LONG TERM LOW EFFORT
Use Case 29,26,26,94,70,80,31,43,1.6,QUICK WINS
Use Case 30,77,87,64,37,79,98,35,1.03,"HIGH EFFORT, QUICK WINS"
Use Case 31,49,61,95,93,57,66,76,1.0,STRATEGIC INVESTMENTS
Use Case 32,67,25,41,38,18,53,12,1.16,"HIGH EFFORT, QUICK WINS"
Use Case 33,85,80,39,85,38,10,19,4.51,QUICK WINS
Use Case 34,100,90,17,39,18,14,52,1.6,LONG TERM LOW EFFORT
Use Case 35,19,75,40,45,95,72,37,1.01,"HIGH EFFORT, QUICK WINS"
Use Case 36,79,26,83,83,70,41,70,1.23,LONG TERM LOW EFFORT
Use Case 37,62,34,22,22,94,65,55,0.78,STRATEGIC INVESTMENTS
Use Case 38,64,62,69,16,96,93,92,0.66,STRATEGIC INVESTMENTS
Use Case 39,22,17,61,53,23,41,34,0.94,QUICK WINS
Use Case 40,34,78,67,27,64,33,45,1.38,QUICK WINS
Use Case 41,69,41,19,66,80,22,16,2.89,QUICK WINS
Use Case 42,93,79,11,21,40,31,62,1.05,LONG TERM LOW EFFORT
Use Case 43,72,71,37,61,17,31,58,1.16,LONG TERM LOW EFFORT
Use Case 44,10,59,43,68,46,64,99,0.55,STRATEGIC INVESTMENTS
Use Case 45,81,94,72,29,34,47,37,1.48,QUICK WINS
Use Case 46,17,84,79,17,50,17,16,2.99,QUICK WINS
Use Case 47,84,71,74,77,30,17,75,1.46,LONG TERM LOW EFFORT
Use Case 48,20,33,18,86,18,96,40,0.51,"HIGH EFFORT, QUICK WINS"
Use Case 49,61,25,82,41,84,86,15,1.16,"HIGH EFFORT, QUICK WINS"
Use Case 50,89,20,63,94,84,82,76,0.89,STRATEGIC INVESTMENTS
